Name,DateOfBirth,PAN,SalaryEarned,Allowances,PensionType,AadhaarNumber,BankName,BankAccountNumber,BankServiceCharge,PensionAmount
Aakash,25-05-1960,A123456789,10000,1069.98,Family pension,1234567891011100,Bytecard,2626564583,0,0
Bhanu,26-05-1960,B123456789,20000,1959.16,Family pension,1234567891011110,Pannier,8597924519,0,0
Charan,27-05-1960,C123456789,30000,1102.34,Family pension,1234567891011120,Bytecard,973230002,0,0
Deepak,28-05-1960,D123456789,40000,1172.23,Self pension,1234567891011130,Pannier,3102897851,0,0
Eshwar,29-05-1960,E123456790,50000,1768.34,Self pension,1234567891011140,Bytecard,5648787774,0,0
Fathima,23-01-1954,F123456790,60000,782.23,Family pension,1234567891011150,Pannier,5278793333,0,0
Ganesh,24-01-1954,G123456790,70000,1076.65,Family pension,1234567891011160,Bytecard,5960696754,0,0
Hari,25-01-1954,H123456790,80000,1937.18,Self pension,1234567891011170,SBI,8259261871,0,0
Indhira,26-01-1954,I123456791,90000,909.25,Self pension,1234567891011180,IOB,8495449595,0,0
Jahnavi,27-01-1954,J123456791,100000,1476.32,Self pension,1234567891011190,Pannier,7426278387,0,0
Kiran,28-01-1954,K123456791,10000,1665.55,Family pension,1234567891011200,IOB,7831246592,0,0
Lasya,29-08-1963,L123456791,20000,540.23,Family pension,1234567891011210,SBI,7617090501,0,0
Mani,29-07-1963,M123456792,30000,528.95,Family pension,1234567891011220,IOB,8702239191,0,0
Naveen,21-08-1963,N123456792,40000,1708.78,Self pension,1234567891011230,SBI,9708591181,0,0
Osama,29-08-1967,O123456792,50000,710.39,Self pension,1234567891011240,Bytecard,732209005,0,0
Pallavi,19-08-1963,P123456792,60000,1654.45,Family pension,1234567891011250,IOB,7624065711,0,0
Quincy,15-08-1973,Q123456793,70000,1063.43,Family pension,1234567891011260,SBI,9590011454,0,0
Raasi,16-03-1959,R123456793,80000,854.69,Self pension,1234567891011270,Pannier,2289974188,0,0
Swetha,14-05-1969,S123456793,90000,1603.65,Self pension,1234567891011280,Bytecard,4805657006,0,0
Tara,22-05-1962,T123456793,100000,679.7,Self pension,1234567891011290,Pannier,9723600471,0,0
